"fips","location","population","density"
"28","Mississippi",2976149,63.422797317
"29","Missouri",6137428,89.277578164
"30","Montana",1068778,7.3431452165
"31","Nebraska",1934408,25.18219543
"32","Nevada",3080156,28.037006365
"33","New Hampshire",1359711,151.8653269
"34","New Jersey",8882190,1207.6722171
"35","New Mexico",2096829,17.284562099
"36","New York",19453561,412.81842864
"37","North Carolina",10488084,215.71420423
"38","North Dakota",762062,11.045213462
"39","Ohio",11689100,286.08552119
"40","Oklahoma",3956971,57.685202577
"41","Oregon",4217737,43.940251292
"42","Pennsylvania",12801989,286.13105806
"44","Rhode Island",1059361,1024.6267288
"45","South Carolina",5148714,171.26007636
"46","South Dakota",884659,11.669470806
"47","Tennessee",6829174,165.60404231
"48","Texas",28995881,110.9834667
"50","Vermont",623989,67.693332663
"49","Utah",3205958,38.918176132
"51","Virginia",8535519,216.18675868
"53","Washington",7614893,114.58700852
"54","West Virginia",1792147,74.545048061
"55","Wisconsin",5822434,107.48955424
"56","Wyoming",578759,5.9611363253
"72","Puerto Rico",3193694,NA
"01","Alabama",4903185,96.811652435
"02","Alaska",731545,1.281126592
"04","Arizona",7278717,64.043251752
"05","Arkansas",3017804,57.992836305
"06","California",39512223,253.52068818
"08","Colorado",5758736,55.566142837
"10","Delaware",973764,499.74775877
"11","District of Columbia",705749,11543.999939
"09","Connecticut",3565287,736.22104642
"12","Florida",21477737,400.34642766
"13","Georgia",10617423,183.95873142
"16","Idaho",1787065,21.623354888
"15","Hawaii",1415872,220.45750094
"17","Illinois",12671821,228.26467808
"18","Indiana",6732219,187.91203111
"19","Iowa",3155070,56.48808963
"20","Kansas",2913314,35.633173473
"21","Kentucky",4467673,113.13031412
"22","Louisiana",4648794,107.59979292
"23","Maine",1344212,43.579859409
"24","Maryland",6045680,622.55125026
"25","Massachusetts",6892503,883.54570363
"26","Michigan",9986857,176.4277398
"27","Minnesota",5639632,70.826623512
